DATE,VALUE
2003-01-01,1.65
2003-02-01,1.24
2003-03-01,1.09
2003-04-01,1.36
2003-05-01,1.18
2003-06-01,0.91
2003-07-01,1.30
2003-08-01,1.48
2003-09-01,1.29
2003-10-01,1.21
2003-11-01,1.27
2003-12-01,1.23
2004-01-01,1.09
2004-02-01,0.86
2004-03-01,0.52
2004-04-01,1.02
2004-05-01,1.34
2004-06-01,1.41
2004-07-01,1.29
2004-08-01,1.12
2004-09-01,1.10
2004-10-01,0.97
2004-11-01,0.90
2004-12-01,0.92
2005-01-01,1.13
2005-02-01,1.08
2005-03-01,1.29
2005-04-01,1.23
2005-05-01,1.28
2005-06-01,1.39
2005-07-01,1.67
2005-08-01,1.71
2005-09-01,1.40
2005-10-01,1.70
2005-11-01,1.97
2005-12-01,2.09
2006-01-01,1.93
2006-02-01,1.98
2006-03-01,2.09
2006-04-01,2.26
2006-05-01,2.30
2006-06-01,2.45
2006-07-01,2.46
2006-08-01,2.27
2006-09-01,2.38
2006-10-01,2.51
2006-11-01,2.41
2006-12-01,2.28
2007-01-01,2.47
2007-02-01,2.34
2007-03-01,2.04
2007-04-01,2.12
2007-05-01,2.29
2007-06-01,2.65
2007-07-01,2.60
2007-08-01,2.39
2007-09-01,2.14
2007-10-01,2.01
2007-11-01,1.35
2007-12-01,1.27
2008-01-01,0.86
2008-02-01,0.65
2008-03-01,0.23
2008-04-01,0.62
2008-05-01,0.79
2008-06-01,0.97
2008-07-01,0.84
2008-08-01,1.15
2008-09-01,1.55
2008-10-01,2.75
2008-11-01,3.69
2008-12-01,1.76
2009-01-01,1.59
2009-02-01,1.29
2009-03-01,1.23
2009-04-01,1.11
2009-05-01,1.07
2009-06-01,1.18
2009-07-01,1.18
2009-08-01,1.29
2009-09-01,1.03
2009-10-01,0.83
2009-11-01,0.48
2009-12-01,0.43
2010-01-01,0.42
2010-02-01,0.42
2010-03-01,0.56
2010-04-01,0.62
2010-05-01,0.41
2010-06-01,0.34
2010-07-01,0.34
2010-08-01,0.13
2010-09-01,0.13
2010-10-01,-0.32
2010-11-01,-0.21
2010-12-01,0.21
2011-01-01,0.06
2011-02-01,0.25
2011-03-01,-0.09
2011-04-01,-0.14
2011-05-01,-0.34
2011-06-01,-0.38
2011-07-01,-0.49
2011-08-01,-0.75
2011-09-01,-0.72
2011-10-01,-0.63
2011-11-01,-0.85
2011-12-01,-0.78
2012-01-01,-0.92
2012-02-01,-1.11
2012-03-01,-1.03
2012-04-01,-1.06
2012-05-01,-1.12
2012-06-01,-1.05
2012-07-01,-1.15
2012-08-01,-1.19
2012-09-01,-1.47
2012-10-01,-1.47
2012-11-01,-1.38
2012-12-01,-1.40
2013-01-01,-1.39
2013-02-01,-1.39
2013-03-01,-1.43
2013-04-01,-1.38
2013-05-01,-1.14
2013-06-01,-0.59
2013-07-01,-0.45
2013-08-01,-0.33
2013-09-01,-0.17
2013-10-01,-0.41
2013-11-01,-0.38
2013-12-01,-0.09
2014-01-01,-0.09
2014-02-01,-0.26
2014-03-01,-0.14
2014-04-01,-0.11
2014-05-01,-0.34
2014-06-01,-0.29
2014-07-01,-0.27
2014-08-01,-0.21
2014-09-01,0.10
2014-10-01,0.06
2014-11-01,0.14
2014-12-01,0.37
2015-01-01,0.17
2015-02-01,0.11
2015-03-01,0.04
2015-04-01,-0.26
2015-05-01,-0.10
2015-06-01,0.05
2015-07-01,0.14
2015-08-01,0.31
2015-09-01,0.33
2015-10-01,0.21
2015-11-01,0.40
2015-12-01,0.46
2016-01-01,0.33
2016-02-01,0.14
2016-03-01,-0.03
2016-04-01,-0.22
2016-05-01,-0.22
2016-06-01,-0.27
2016-07-01,-0.32
2016-08-01,-0.17
2016-09-01,-0.17
2016-10-01,-0.26
2016-11-01,-0.07
2016-12-01,0.15
2017-01-01,0.03
2017-02-01,0.01
2017-03-01,0.18
2017-04-01,0.08
2017-05-01,0.09
2017-06-01,0.14
2017-07-01,0.23
2017-08-01,0.16
2017-09-01,0.12
2017-10-01,0.25
2017-11-01,0.30
2017-12-01,0.42
2018-01-01,0.45
2018-02-01,0.63
2018-03-01,0.61
2018-04-01,0.65
2018-05-01,0.72
2018-06-01,0.71
2018-07-01,0.74
2018-08-01,0.79
2018-09-01,0.89
2018-10-01,1.01
2018-11-01,1.10
2018-12-01,1.08
